timestamp,backend,model,prompt_length_chars,input_tokens,output_tokens,total_tokens,cost_usd,latency_ms
2026-09-11T11:42:59,groq,openai/gpt-oss-20b,791,182,18,200,2e-05,1463.4
2026-09-11T11:43:02,groq,openai/gpt-oss-20b,269,45,319,364,3.6e-05,1823.9
2026-09-11T11:43:04,groq,openai/gpt-oss-20b,713,164,10,174,1.7e-05,1333.2
2026-09-11T11:43:06,groq,openai/gpt-oss-20b,1057,292,25,317,3.2e-05,771.1
2026-09-11T11:43:08,groq,openai/gpt-oss-20b,1263,268,42,310,3.1e-05,601.3
2026-09-11T11:43:10,groq,openai/gpt-oss-20b,722,169,13,182,1.8e-05,977.2
2026-09-11T11:43:11,groq,openai/gpt-oss-20b,748,131,21,152,1.5e-05,720.3
2026-09-11T11:43:14,groq,openai/gpt-oss-20b,914,208,120,328,3.3e-05,1587.0
2026-09-11T11:43:17,groq,openai/gpt-oss-20b,803,194,692,886,8.9e-05,1892.5
2026-09-11T11:43:18,groq,openai/gpt-oss-20b,640,136,27,163,1.6e-05,521.4
2026-09-11T11:43:20,groq,openai/gpt-oss-20b,921,192,71,263,2.6e-05,1004.7
2026-09-11T11:43:21,groq,openai/gpt-oss-20b,527,102,41,143,1.4e-05,618.9
2026-09-11T11:43:23,groq,openai/gpt-oss-20b,957,212,22,234,2.3e-05,981.3
2026-09-11T11:43:25,groq,openai/gpt-oss-20b,1512,282,41,323,3.2e-05,912.0
2026-09-11T11:43:27,groq,openai/gpt-oss-20b,1222,244,99,343,3.4e-05,798.4
2026-09-11T11:43:29,groq,openai/gpt-oss-20b,1078,196,31,227,2.3e-05,969.0
2026-09-11T11:43:30,groq,openai/gpt-oss-20b,1056,239,25,264,2.6e-05,579.2
2026-09-11T11:43:31,groq,openai/gpt-oss-20b,594,109,27,136,1.4e-05,474.0
2026-09-11T11:43:33,groq,openai/gpt-oss-20b,938,182,12,194,1.9e-05,538.6
2026-09-11T11:43:35,groq,openai/gpt-oss-20b,683,153,176,329,3.3e-05,1162.3
2026-09-11T11:43:39,groq,openai/gpt-oss-20b,604,104,22,126,1.3e-05,3742.7
2026-09-11T11:43:42,groq,openai/gpt-oss-20b,1183,240,117,357,3.6e-05,2319.5
2026-09-11T11:43:45,groq,openai/gpt-oss-20b,719,158,96,254,2.5e-05,1027.3
2026-09-11T11:43:53,groq,openai/gpt-oss-20b,670,127,105,232,2.3e-05,7929.9
2026-09-11T11:43:56,groq,openai/gpt-oss-20b,750,148,322,470,4.7e-05,1370.6
2026-09-11T11:43:58,groq,openai/gpt-oss-20b,723,146,107,253,2.5e-05,780.8
2026-09-11T11:44:01,groq,openai/gpt-oss-20b,748,149,251,400,4e-05,1247.3
2026-09-11T11:44:11,groq,openai/gpt-oss-20b,795,151,20,171,1.7e-05,8892.1
2026-09-11T11:44:14,groq,openai/gpt-oss-20b,887,163,7,170,1.7e-05,988.8
2026-09-11T11:44:18,groq,openai/gpt-oss-20b,1021,213,27,240,2.4e-05,2704.2
2026-09-11T11:44:20,groq,openai/gpt-oss-20b,577,142,10,152,1.5e-05,690.6
2026-09-11T11:44:22,groq,openai/gpt-oss-20b,941,182,77,259,2.6e-05,908.9
2026-09-11T11:44:25,groq,openai/gpt-oss-20b,2501,532,216,748,7.5e-05,1438.4
2026-09-11T11:44:39,groq,openai/gpt-oss-20b,1274,252,328,580,5.8e-05,13176.5
2026-09-11T11:44:46,groq,openai/gpt-oss-20b,908,181,45,226,2.3e-05,5530.1
2026-09-11T11:44:58,groq,openai/gpt-oss-20b,626,132,86,218,2.2e-05,10957.5
2026-09-11T11:45:05,groq,openai/gpt-oss-20b,1958,440,197,637,6.4e-05,6005.0
2026-09-11T11:45:08,groq,openai/gpt-oss-20b,831,174,25,199,2e-05,1111.7
2026-09-11T11:45:11,groq,openai/gpt-oss-20b,685,166,31,197,2e-05,2740.9
2026-09-11T11:45:13,groq,openai/gpt-oss-20b,822,176,41,217,2.2e-05,808.3
2026-09-11T11:45:17,groq,openai/gpt-oss-20b,1111,209,1080,1289,0.000129,2466.5
2026-09-11T11:45:31,groq,openai/gpt-oss-20b,1056,197,13,210,2.1e-05,13029.8
2026-09-11T11:45:36,groq,openai/gpt-oss-20b,792,179,894,1073,0.000107,3127.3
2026-09-11T11:45:47,groq,openai/gpt-oss-20b,970,171,120,291,2.9e-05,9848.5
2026-09-11T11:45:49,groq,openai/gpt-oss-20b,862,203,32,235,2.4e-05,1192.8
2026-09-11T11:45:51,groq,openai/gpt-oss-20b,1028,236,29,265,2.7e-05,692.5
2026-09-11T11:45:58,groq,openai/gpt-oss-20b,802,203,27,230,2.3e-05,5901.6
2026-09-11T11:46:01,groq,openai/gpt-oss-20b,878,172,55,227,2.3e-05,1690.5
